City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bairiki,KI,1.3292,172.9752,87.8,66,40,14.97,scattered clouds
1,Sinnamary,GF,5.3833,-52.95,76.42,91,90,9.26,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,-1.68,50,20,3.44,few clouds
3,Mahebourg,MU,-20.4081,57.7,76.24,100,75,29.93,moderate rain
4,Ostrovnoy,RU,68.0531,39.5131,10.71,95,85,11.92,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,61.18,97,100,6.53,overcast clouds
6,Dikson,RU,73.5069,80.5464,5.04,94,100,6.55,overcast clouds
7,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,21.65,clear sky
8,Diamantino,BR,-14.4086,-56.4461,61.23,93,87,5.37,overcast clouds
9,Busselton,AU,-33.65,115.3333,79.0,53,74,9.98,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,8.05,clear sky
11,Cape Town,ZA,-33.9258,18.4232,64.11,67,0,21.85,clear sky
12,Mehamn,NO,71.0357,27.8492,24.51,83,100,3.76,light snow
13,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.36,92,5,0.98,clear sky
14,Fortuna,US,40.5982,-124.1573,50.94,80,40,13.8,scattered clouds
15,Albany,US,42.6001,-73.9662,36.95,64,92,7.0,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,61.32,82,20,9.22,few clouds
17,Hithadhoo,MV,-0.6,73.0833,82.96,70,2,8.7,clear sky
18,Dalby,AU,-27.1833,151.2667,77.99,57,5,1.99,clear sky
19,Hermanus,ZA,-34.4187,19.2345,63.97,71,94,14.63,overcast clouds
20,Torbay,CA,47.6666,-52.7314,35.28,93,100,29.93,light snow
21,Namibe,AO,-15.1961,12.1522,70.52,84,96,4.16,overcast clouds
22,Severo-Kurilsk,RU,50.6789,156.125,27.99,73,94,28.9,light snow
23,Manaus,BR,-3.1019,-60.025,81.09,83,75,3.44,broken clouds
24,Khatanga,RU,71.9667,102.5,1.74,92,100,4.81,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,61.92,56,99,3.0,overcast clouds
26,Ust-Kuyga,RU,70.0167,135.6,10.36,73,74,6.04,broken clouds
27,Mataura,NZ,-46.1927,168.8643,63.23,54,5,7.18,clear sky
28,Margate,GB,51.3813,1.3862,39.69,72,57,10.0,broken clouds
29,Marystown,CA,47.1666,-55.1483,37.85,100,100,10.92,overcast clouds
30,Falam,MM,22.9167,93.6833,73.47,35,58,2.28,broken clouds
31,Kapaa,US,22.0752,-159.319,82.38,89,75,18.41,light rain
32,Ibirama,BR,-27.0569,-49.5178,63.32,97,100,0.85,overcast clouds
33,Butaritari,KI,3.0707,172.7902,82.35,72,28,21.36,scattered clouds
34,Atuona,PF,-9.8,-139.0333,79.2,74,49,6.93,scattered clouds
35,Narsaq,GL,60.9167,-46.05,50.22,72,100,4.45,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,75.43,63,9,11.88,clear sky
37,San Cristobal,VE,7.7669,-72.225,71.78,70,95,1.9,overcast clouds
38,Warri,NG,5.5167,5.75,78.44,88,100,2.71,overcast clouds
39,Diez,DE,50.3667,8.0167,34.95,96,100,10.04,light snow
40,Mayo,US,38.8876,-76.5119,46.98,55,0,14.0,clear sky
41,Hasaki,JP,35.7333,140.8333,50.29,52,100,9.86,overcast clouds
42,Provideniya,RU,64.3833,-173.3,27.48,75,93,10.8,overcast clouds
43,Hay River,CA,60.8156,-115.7999,-4.02,71,75,6.91,light snow
44,Georgetown,MY,5.4112,100.3354,87.73,77,20,4.61,few clouds
45,Bredasdorp,ZA,-34.5322,20.0403,63.45,67,99,11.52,light rain
46,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,0,5.75,clear sky
47,Olinda,BR,-8.0089,-34.8553,83.93,70,40,8.05,scattered clouds
48,North Bend,US,43.4065,-124.2243,50.92,87,100,6.91,overcast clouds
49,Vaini,TO,-21.2,-175.2,84.36,79,75,4.61,broken clouds
50,Cockburn Town,TC,21.4612,-71.1419,77.65,77,0,21.03,clear sky
51,Sao Filipe,CV,14.8961,-24.4956,70.41,82,12,6.69,few clouds
52,Arman,RU,59.7,150.1667,25.02,58,100,6.06,overcast clouds
53,Barrow,US,71.2906,-156.7887,-2.18,65,0,18.41,clear sky
54,Touros,BR,-5.1989,-35.4608,79.75,82,98,11.61,overcast clouds
55,Nome,US,64.5011,-165.4064,28.47,51,0,4.61,clear sky
56,Bakchar,RU,57.0186,82.0711,32.7,98,100,9.35,overcast clouds
57,Salalah,OM,17.0151,54.0924,75.29,41,0,2.3,clear sky
58,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,40,40,24.61,scattered clouds
59,Hurghada,EG,27.2574,33.8129,73.17,30,26,8.12,scattered clouds
60,Tautira,PF,-17.7333,-149.15,81.91,74,80,9.69,light rain
61,Bulgan,MN,48.8125,103.5347,42.1,20,22,3.4,few clouds
62,Souillac,MU,-20.5167,57.5167,75.58,100,75,29.93,heavy intensity rain
63,Luderitz,NA,-26.6481,15.1594,59.27,75,0,18.12,clear sky
64,Laguna,US,38.421,-121.4238,73.69,42,0,6.91,clear sky
65,Chuy,UY,-33.6971,-53.4616,54.59,74,0,5.21,clear sky
66,Leh,IN,34.1667,77.5833,26.19,52,0,3.2,clear sky
67,Gizo,SB,-8.103,156.8419,80.24,81,100,9.86,overcast clouds
68,Alice Springs,AU,-23.7,133.8833,74.75,29,67,11.5,broken clouds
69,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,3.44,clear sky
70,Ouesso,CG,1.6136,16.0517,67.89,98,75,3.22,broken clouds
71,Redmond,US,47.674,-122.1215,52.36,70,100,10.0,overcast clouds
72,Carballo,ES,43.213,-8.691,44.87,84,64,3.78,broken clouds
73,Barra Patuca,HN,15.8,-84.2833,79.56,78,6,15.48,clear sky
74,Ushuaia,AR,-54.8,-68.3,38.86,81,20,5.75,few clouds
75,Ribeira Grande,PT,38.5167,-28.7,56.39,76,12,17.34,few clouds
76,Camocim,BR,-2.9022,-40.8411,75.83,91,97,7.52,overcast clouds
77,Saint-Philippe,RE,-21.3585,55.7679,74.79,96,100,20.11,heavy intensity rain
78,Talaya,RU,61.3833,152.75,7.88,79,100,8.12,overcast clouds
79,Saskylakh,RU,71.9167,114.0833,6.71,94,99,8.25,overcast clouds
80,Inhambane,MZ,-23.865,35.3833,75.34,78,22,6.4,few clouds
81,Dunkwa,GH,5.9656,-1.78,71.4,96,100,1.1,overcast clouds
82,Katherine,AU,-14.4667,132.2667,93.52,29,8,10.36,clear sky
83,Arraial Do Cabo,BR,-22.9661,-42.0278,75.13,90,100,18.66,overcast clouds
84,Hanna,CA,51.6334,-111.9018,36.86,56,100,3.0,overcast clouds
